#format table ## [Custom WaveView] saved 17:22:00 Thu Dec  5 2024
TIME ,v(bit0) ,v(bit1) ,v(bit2) ,v(bit3) ,v(bit4) ,v(bit5) ,v(bit6) ,v(bit7) 
 1.150E-08 , 1.801E+00 , 1.790E+00 , 1.800E+00 , 1.799E+00 , 4.687E-05 , 3.835E-03 , 1.792E+00 , 1.801E+00 
 1.175E-08 , 1.706E+00 , 8.067E-03 , 4.143E-03 , 1.800E+00 , 1.799E+00 , 4.952E-05 , 8.076E-03 , 2.167E-02 
 1.200E-08 , 2.687E-02 , 1.767E+00 , 6.133E-05 , 4.016E-03 , 1.800E+00 , 1.799E+00 , 3.775E-04 , 1.435E-03 
 1.225E-08 , 4.613E-04 , 3.136E-02 , 1.799E+00 , 4.753E-05 , 4.017E-03 , 1.800E+00 , 1.765E+00 , 1.291E-03 
 1.250E-08 ,-2.182E-03 ,-2.303E-03 , 3.858E-03 , 1.799E+00 , 4.757E-05 , 4.019E-03 , 1.732E+00 , 1.795E+00 
 1.275E-08 , 1.685E+00 , 1.685E+00 , 1.799E+00 , 3.775E-03 , 1.799E+00 , 4.815E-05 , 1.024E-02 , 6.413E-02 
 1.300E-08 , 2.557E-02 , 1.797E+00 , 1.800E+00 , 1.799E+00 , 3.774E-03 , 1.799E+00 , 2.821E-04 ,-1.022E-03 
 1.325E-08 , 4.463E-04 , 3.285E-02 , 1.800E+00 , 1.800E+00 , 1.799E+00 , 3.775E-03 , 1.765E+00 , 1.240E-03 
 1.350E-08 ,-2.337E-03 ,-2.447E-03 , 4.119E-03 , 1.800E+00 , 1.800E+00 , 1.799E+00 ,-9.844E-05 , 1.795E+00 
 1.375E-08 , 1.801E+00 , 1.801E+00 , 1.799E+00 , 4.017E-03 , 1.800E+00 , 1.800E+00 , 1.792E+00 , 1.801E+00 
 1.400E-08 , 1.708E+00 , 9.247E-03 , 3.845E-03 , 1.799E+00 , 4.017E-03 , 1.800E+00 , 1.708E+00 , 2.834E-02 
 1.425E-08 ,-9.413E-05 , 1.800E+00 , 7.023E-05 , 3.830E-03 , 1.799E+00 , 4.017E-03 , 1.749E+00 , 1.796E+00 
 1.450E-08 , 1.692E+00 , 1.698E+00 , 4.029E-05 , 7.025E-05 , 3.831E-03 , 1.799E+00 , 8.570E-03 , 3.626E-02 
 1.475E-08 , 2.618E-02 , 1.797E+00 , 1.799E+00 , 3.123E-05 , 7.022E-05 , 3.832E-03 , 1.768E+00 , 1.739E-03 
 1.500E-08 ,-2.271E-03 ,-9.179E-05 , 1.800E+00 , 1.799E+00 , 3.125E-05 , 6.923E-05 ,-1.048E-04 , 1.795E+00 
 1.525E-08 , 1.801E+00 , 1.790E+00 , 1.800E+00 , 1.800E+00 , 1.799E+00 , 2.971E-05 ,-1.151E-04 , 1.801E+00 
 1.550E-08 , 1.800E+00 ,-7.623E-04 , 4.178E-03 , 1.800E+00 , 1.800E+00 , 1.799E+00 ,-8.906E-05 , 1.800E+00 
 1.575E-08 , 1.800E+00 ,-1.893E-04 , 1.799E+00 , 4.016E-03 , 1.800E+00 , 1.800E+00 , 1.786E+00 , 1.801E+00 
 1.600E-08 , 1.708E+00 , 9.445E-03 , 1.800E+00 , 1.799E+00 , 4.016E-03 , 1.800E+00 , 1.708E+00 , 2.925E-02 
 1.625E-08 ,-9.403E-05 , 1.800E+00 , 4.021E-03 , 1.800E+00 , 1.799E+00 , 4.017E-03 , 1.748E+00 , 1.796E+00 
 1.650E-08 , 1.691E+00 , 1.697E+00 , 5.703E-05 , 4.017E-03 , 1.800E+00 , 1.799E+00 , 8.627E-03 , 3.691E-02 
 1.675E-08 , 2.613E-02 , 1.797E+00 , 1.799E+00 , 4.762E-05 , 4.017E-03 , 1.800E+00 , 1.767E+00 , 1.741E-03 
 1.700E-08 ,-2.100E-03 ,-7.386E-05 , 1.800E+00 , 1.799E+00 , 4.757E-05 , 4.019E-03 , 1.732E+00 , 1.795E+00 
 1.725E-08 , 1.683E+00 , 1.671E+00 , 1.800E+00 , 1.800E+00 , 1.799E+00 , 4.815E-05 , 1.063E-02 , 7.113E-02 
 1.750E-08 , 2.529E-02 , 1.797E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.799E+00 , 2.838E-04 ,-1.035E-03 
 1.775E-08 , 4.439E-04 , 3.285E-02 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.765E+00 , 1.235E-03 
 1.800E-08 ,-2.182E-03 ,-2.304E-03 , 4.172E-03 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.732E+00 , 1.795E+00 
 1.825E-08 , 1.688E+00 , 1.688E+00 , 1.799E+00 , 4.066E-03 , 1.800E+00 , 1.800E+00 , 1.687E+00 , 6.153E-02 
 1.850E-08 ,-9.468E-05 , 1.755E+00 , 1.800E+00 , 1.799E+00 , 4.066E-03 , 1.800E+00 , 1.758E+00 , 1.797E+00 
